id,name,status,decision_reason,primary_category,description,repository,repository_url,owner,forge_kind,forge_host,homepage,license_spdx,license_class,capabilities,language,created_at,pushed_at,latest_release_at,project_age_days,days_since_push,days_since_release,archived,visibility,has_docs,has_tests,has_ci,pypi_packages,conda_packages,julia_packages,julia_registry_status
das-sensitivity,DAS_sensitivity,included,Reusable DAS-specific modeling package with an MIT license and importable source modules.,modeling,Ray-based assessment of DAS directional sensitivity to seismic waves.,olfontai/DAS_sensitivity,https://github.com/olfontai/DAS_sensitivity,olfontai,github,github.com,,MIT,osi-approved,modeling;processing;visualization,Jupyter Notebook,2025-10-31T14:41:07Z,2026-04-30T20:13:15Z,,290,109,,False,public,False,False,False,,,,not_applicable
das-simulator,fiberoptics-das-simulator,included,Reusable DAS reference implementation under Apache-2.0; the only catalogued project written in Java.,modeling,Reference implementation of a real-time DAS producer for interrogator interfaces.,equinor/fiberoptics-das-simulator,https://github.com/equinor/fiberoptics-das-simulator,equinor,github,github.com,,Apache-2.0,osi-approved,interoperability;simulation;streaming,Java,2020-11-13T08:11:44Z,2026-07-31T22:20:49Z,2021-10-12T08:30:27Z,2103,17,1770,False,public,False,False,True,,,,not_applicable
das-source-locator,DASSourceLocator,included,"Reusable DAS annotation application published with no license file, which grants no reuse rights.",visualization-annotation,Time-of-arrival annotation and source location tooling for DAS data.,leabouffaut/DASSourceLocator,https://github.com/leabouffaut/DASSourceLocator,leabouffaut,github,github.com,,,unlicensed,annotation;processing;visualization,Python,2024-11-21T16:57:38Z,2024-11-21T19:08:02Z,,634,634,,False,public,False,False,False,,,,not_applicable
das-to-store,das-to-store,included,Reusable DAS-specific conversion tooling with an MIT license.,compression-storage,"Transformation of DAS interrogator output into cloud-native, analysis-ready stores.",jacobrdavis/das-to-store,https://github.com/jacobrdavis/das-to-store,jacobrdavis,github,github.com,,MIT,osi-approved,conversion;data-management;io;object-storage,Jupyter Notebook,2026-05-18T22:45:16Z,2026-06-10T17:40:05Z,,91,68,,False,public,False,False,False,,,,not_applicable
das-toolkit,das-toolkit,included,Reusable DAS-specific Python toolkit with an MIT license.,processing,Python toolkit for common DAS reading and processing steps.,RobbinLuo/das-toolkit,https://github.com/RobbinLuo/das-toolkit,RobbinLuo,github,github.com,,MIT,osi-approved,io;processing;visualization,Jupyter Notebook,2022-10-17T03:12:39Z,2022-10-31T15:45:59Z,,1400,1386,,False,public,False,False,False,,,,not_applicable
das-tools-eth,DAS_Tools,included,"Reusable DAS-specific Python tools published with no license file, which grants no reuse rights.",processing,"Reading, writing, and frequency-wavenumber filtering routines for DAS data.",afichtner/DAS_Tools,https://github.com/afichtner/DAS_Tools,afichtner,github,github.com,,,unlicensed,io;processing;visualization,Python,2022-10-04T09:59:55Z,2022-10-04T10:01:59Z,,1413,1413,,False,public,False,False,False,,,,not_applicable
das-vessel-detection,das-vessel-detection,included,Reusable DAS-specific detection system with GPL-3.0 licensing.,application-domain,Vessel detection and localization from distributed acoustic sensing recordings.,UAH-PSI/das-vessel-detection,https://github.com/UAH-PSI/das-vessel-detection,UAH-PSI,github,github.com,,GPL-3.0-only,osi-approved,detection;machine-learning;processing,Python,2025-06-05T22:26:24Z,2026-08-07T20:30:04Z,,438,10,,False,public,True,False,False,,,,not_applicable
das4whales,DAS4Whales,included,"Reusable DAS library for marine bioacoustics. Its CC BY-NC-SA license is source-available rather than OSI-approved, which the license class records instead of the inclusion decision.",application-domain,DAS processing and visualization for marine bioacoustics.,DAS4Whales/DAS4Whales,https://github.com/DAS4Whales/DAS4Whales,DAS4Whales,github,github.com,https://das4whales.readthedocs.io,CC-BY-NC-SA-4.0,source-available,bioacoustics;detection;io;processing;visualization,Python,2023-02-21T19:26:59Z,2026-08-12T20:31:24Z,2026-07-06T14:57:16Z,1273,5,42,False,public,True,True,True,das4whales,,,not_applicable
dascore,DASCore,included,Reusable DAS-specific library with documented LGPL-3.0-or-later licensing and package releases.,core-framework,"General data model, I/O, processing, and visualization for distributed fiber sensing.",DASDAE/dascore,https://github.com/DASDAE/dascore,DASDAE,github,github.com,https://dascore.org,LGPL-3.0-or-later,osi-approved,data-management;data-model;io;processing;visualization,Python,2021-10-29T15:34:47Z,2026-08-17T19:26:23Z,2026-07-25T10:46:45Z,1753,0,23,False,public,True,True,True,dascore,conda-forge/dascore,,not_applicable
dascorepy,dascorepy,included,Reusable DAS interoperability package with an MIT license.,interoperability,Conversion bridge between DASCore and DASPy data structures.,DASDAE/dascorepy,https://github.com/DASDAE/dascorepy,DASDAE,github,github.com,,MIT,osi-approved,data-model;interoperability,Python,2026-05-08T09:23:51Z,2026-05-08T09:50:22Z,,101,101,,False,public,False,True,True,,,,not_applicable
daseventnet,DASEventNet,included,"Reusable DAS detection model with an MIT license, distributed as scripts rather than an installable package.",machine-learning-detection,ResNet-based microseismic event detection on DAS arrays.,Tieyuan/DASEventNet,https://github.com/Tieyuan/DASEventNet,Tieyuan,github,github.com,,MIT,osi-approved,detection;machine-learning;seismology,Python,2025-04-08T17:04:31Z,2025-04-08T17:18:03Z,,496,496,,False,public,False,False,False,,,,not_applicable
dasexplorer,DASexplorer,included,Reusable DAS application explicitly licensed under GPL-3.0-or-later.,visualization-annotation,"Desktop application for DAS visualization, filtering, picking, and annotation.",sermomon/DASexplorer,https://github.com/sermomon/DASexplorer,sermomon,github,github.com,https://sermomon.github.io/DASexplorer/,GPL-3.0-or-later,osi-approved,annotation;desktop-application;io;processing;visualization,Python,2026-06-23T09:38:38Z,2026-07-15T09:22:36Z,2026-07-10T10:50:42Z,55,33,38,False,public,False,False,False,dasexplorer,,,not_applicable
dasgauge,dasgauge,included,Reusable DAS-specific comparison package with an MIT license.,benchmarking,Similarity measurement between two DAS datasets.,UWGeoD/dasgauge,https://github.com/UWGeoD/dasgauge,UWGeoD,github,github.com,,MIT,osi-approved,benchmarking;processing,Python,2026-07-31T04:49:00Z,2026-07-31T22:53:19Z,,17,17,,False,public,False,True,False,,,,not_applicable
dasio,dasio,included,Reusable DAS-specific Python package with an MIT license.,data-management,"Basic input, output, and processing helpers for DAS file formats.",jxli2a/dasio,https://github.com/jxli2a/dasio,jxli2a,github,github.com,,MIT,osi-approved,data-management;io;processing,Python,2026-06-26T00:21:49Z,2026-08-09T13:03:26Z,,52,8,,False,public,False,True,True,,,,not_applicable
dasjax,dasjax,included,"Reusable DAS processing package whose LICENSE file states LGPL-3.0, which GitHub does not auto-detect.",processing,JAX-compiled processing kernels and pipelines for DASCore.,DASDAE/dasjax,https://github.com/DASDAE/dasjax,DASDAE,github,github.com,,LGPL-3.0-only,osi-approved,parallel-computing;processing,Python,2026-04-11T19:36:45Z,2026-04-25T14:33:49Z,,128,114,,False,public,False,True,True,,,,not_applicable
daslab,DASLab,included,Reusable DAS-specific Python library with GPL-3.0 licensing and an archived release.,processing,Signal-processing and analysis routines for DAS fiber-optic data.,yohanesnuwara/DASLab,https://github.com/yohanesnuwara/DASLab,yohanesnuwara,github,github.com,,GPL-3.0-only,osi-approved,io;processing;visualization,Jupyter Notebook,2021-05-09T05:00:00Z,2025-08-30T08:32:19Z,2021-12-22T04:10:14Z,1926,352,1699,False,public,False,False,False,,,,not_applicable
dasmart-infra,DASmartInfra,included,Reusable DAS-specific package under Apache-2.0.,application-domain,"Algorithms, benchmarks, and edge-inference components for DAS infrastructure monitoring.",Pengchao-He/DASmartInfra,https://github.com/Pengchao-He/DASmartInfra,Pengchao-He,github,github.com,,Apache-2.0,osi-approved,benchmarking;detection;machine-learning;processing,Python,2026-08-10T08:53:46Z,2026-08-10T18:19:31Z,,7,7,,False,public,True,False,True,,,,not_applicable
dasmasw,dasmasw,excluded,"The repository is private and returns 404 to anyone unauthenticated, so it is not public software. Earlier runs catalogued it because collection is authenticated and the API answered normally.",processing,Multichannel analysis of surface waves specialized for DAS data.,DASDAE/dasmasw,https://github.com/DASDAE/dasmasw,DASDAE,github,github.com,,MIT,osi-approved,processing;surface-waves;visualization,,,,,,,,,,,,,,,,not_applicable
dasmatrix,DASMatrix,included,"Reusable DAS-specific Python framework with an MIT license, published documentation, and continuous integration.",core-framework,"Python framework for DAS acquisition, processing, and analysis.",QIanGua/DASMatrix,https://github.com/QIanGua/DASMatrix,QIanGua,github,github.com,https://qiangua.github.io/DASMatrix,MIT,osi-approved,data-model;io;processing;visualization,HTML,2025-04-12T07:06:05Z,2026-02-28T12:16:28Z,,492,170,,False,public,True,True,True,,,,not_applicable
daspack,DASPack,included,Reusable DAS-specific compressor with a BSD-3-Clause license and package release.,compression-storage,Lossless and fixed-accuracy lossy compression for large DAS datasets.,asleix/daspack,https://github.com/asleix/daspack,asleix,github,github.com,,BSD-3-Clause,osi-approved,compression;io;streaming,Rust,2025-07-11T15:05:39Z,2025-10-16T15:06:21Z,,402,305,,False,public,True,True,False,daspack-dev,,,not_applicable
daspy,DASPy,included,"Reusable DAS-specific toolbox with an MIT license, documentation, and package releases.",processing,Python toolbox for DAS seismology and common array-processing workflows.,HMZ-03/DASPy,https://github.com/HMZ-03/DASPy,HMZ-03,github,github.com,https://daspy-tutorial.readthedocs.io,MIT,osi-approved,io;processing;seismology;visualization,Jupyter Notebook,2024-03-27T10:47:41Z,2026-06-26T01:35:20Z,2026-06-26T01:36:36Z,873,52,52,False,public,False,False,True,daspy-toolbox,conda-forge/daspy-toolbox,,not_applicable
dasstore,DASstore,included,Reusable DAS storage software with GPL-3.0 licensing.,compression-storage,Object-storage and data-access tools designed for DAS datasets.,niyiyu/DASstore,https://github.com/niyiyu/DASstore,niyiyu,github,github.com,,GPL-3.0-only,osi-approved,data-management;io;object-storage,Jupyter Notebook,2022-11-15T21:58:19Z,2026-05-08T00:37:48Z,2024-09-24T20:37:04Z,1371,101,692,False,public,False,True,True,,,,not_applicable
dastools,dastools,included,Reusable DAS tool set with GPL-3.0-or-later licensing and PyPI releases; the first catalogued project hosted outside GitHub.,data-management,"Reading, conversion, and metadata tooling for DAS acquisitions, from GEOFON.",geofon/dastools,https://git.gfz-potsdam.de/geofon/dastools,geofon,gitlab,git.gfz-potsdam.de,,GPL-3.0-or-later,osi-approved,conversion;data-management;io;metadata,Python,2019-06-17T01:05:32.741+02:00,2025-12-27T10:12:12.486+01:00,2025-08-26T20:53:40.164+02:00,2618,233,356,False,public,True,True,True,dastools,,,not_applicable
dasvader,DASVader.jl,included,Reusable DAS-specific Julia library with an MIT license.,core-framework,"Julia framework for loading, processing, and analyzing DAS data.",marianoarnaiz/DASvader.jl,https://github.com/marianoarnaiz/DASvader.jl,marianoarnaiz,github,github.com,,MIT,osi-approved,io;processing;visualization,Julia,2024-12-02T15:08:03Z,2026-07-03T19:57:37Z,,623,45,,False,public,False,False,False,,,DASVader,unregistered
dasvader-ds,DASVaderDS.jl,included,Reusable DAS-specific Julia library with an MIT license and a source tree distinct from DASVader.jl.,core-framework,"Julia detection, picking, and visualization tools for DAS data streams.",marianoarnaiz/DASVaderDS.jl,https://github.com/marianoarnaiz/DASVaderDS.jl,marianoarnaiz,github,github.com,,MIT,osi-approved,detection;io;phase-picking;processing;visualization,Julia,2025-05-20T12:52:26Z,2025-05-20T14:24:11Z,,454,454,,False,public,False,False,False,,,,not_applicable
dasview,DASView,watchlist,"MIT licensed and clearly in scope, but the repository publishes only a README, a license, and screenshots; no source code is available to review or reuse.",visualization-annotation,Cross-platform desktop application for interactive DAS visualization and processing.,hetinghong/DASView,https://github.com/hetinghong/DASView,hetinghong,github,github.com,,MIT,osi-approved,desktop-application;processing;visualization,,2025-12-19T07:02:43Z,2025-12-27T04:17:49Z,2025-12-19T11:37:13Z,241,233,241,False,public,False,False,False,,,,not_applicable
derzug,DerZug,included,"Reusable DFOS application with GPL-3.0 licensing and PyPI and conda-forge releases; self-declared experimental, which the policy does not exclude.",visualization-annotation,Interactive DFOS visualization and annotation application built on DASCore.,DASDAE/derzug,https://github.com/DASDAE/derzug,DASDAE,github,github.com,,GPL-3.0-only,osi-approved,annotation;desktop-application;processing;visualization,Python,2026-03-09T10:20:00Z,2026-08-13T15:12:12Z,2026-08-13T15:12:13Z,161,4,4,False,public,True,True,True,derzug,conda-forge/derzug,,not_applicable
distpy,distpy,included,Reusable DAS processing package with an MIT license and PyPI releases.,processing,"Branched, scalable processing flows for distributed fiber-optic sensor data.",Schlumberger/distpy,https://github.com/Schlumberger/distpy,Schlumberger,github,github.com,,MIT,osi-approved,parallel-computing;pipelines;processing;visualization,Jupyter Notebook,2020-01-20T10:14:57Z,2022-11-08T21:56:35Z,,2401,1378,,False,public,True,False,False,distpy,,,not_applicable
dss-analyzer,DSS_analyzer_Mariner,watchlist,OSI-licensed and archived by its author; the modality is distributed strain sensing rather than DAS.,processing,Distributed strain sensing processing tools for the Bakken Mariner project.,shenyaojin/DSS_analyzer_Mariner,https://github.com/shenyaojin/DSS_analyzer_Mariner,shenyaojin,github,github.com,,GPL-3.0-only,osi-approved,io;processing;strain-sensing,Python,2023-10-06T00:04:02Z,2025-01-31T21:03:53Z,,1046,563,,True,public,False,False,False,,,,not_applicable
dts-r,dts,watchlist,"The only R package found in this domain, but the modality is distributed temperature sensing rather than DAS, and no license file is published.",data-management,R tools for reading and exploring distributed temperature sensing datasets.,jkennel/dts,https://github.com/jkennel/dts,jkennel,github,github.com,,,unlicensed,data-management;io;temperature-sensing,HTML,2021-09-01T14:00:34Z,2025-11-07T21:09:07Z,,1811,283,,False,public,False,True,True,,,,not_applicable
dtscalibration,python-dts-calibration,watchlist,"Mature, OSI-licensed DFOS package, but distributed temperature sensing is a different modality from DAS and is held out of the headline comparison.",processing,Loading and calibration of raw distributed temperature sensing measurements.,dtscalibration/python-dts-calibration,https://github.com/dtscalibration/python-dts-calibration,dtscalibration,github,github.com,https://python-dts-calibration.readthedocs.io,BSD-3-Clause,osi-approved,calibration;io;processing;temperature-sensing,Python,2018-07-31T22:46:08Z,2026-05-07T09:43:35Z,2024-09-13T13:30:15Z,2939,102,703,False,public,True,True,True,dtscalibration,conda-forge/dtscalibration,,not_applicable
edgedas,EdgeDAS,excluded,"The repository carries a license but no published source, so there is nothing to review or reuse.",out-of-scope,Announced edge-computing infrastructure for DAS data analysis.,DASDAE/edgedas,https://github.com/DASDAE/edgedas,DASDAE,github,github.com,,LGPL-2.1-only,osi-approved,,,,,,,,,,,,,,,,,not_applicable
eqnet,EQNet / PhaseNet-DAS,included,"Reusable DAS phase-picking and detection models under a custom academic/commercial license, which is source-available rather than OSI-approved.",machine-learning-detection,Deep-learning earthquake detection and phase picking with DAS support.,AI4EPS/EQNet,https://github.com/AI4EPS/EQNet,AI4EPS,github,github.com,,LicenseRef-Academic-Commercial,source-available,detection;machine-learning;phase-picking;seismology,Jupyter Notebook,2022-07-18T21:30:56Z,2026-08-10T05:38:15Z,2023-10-26T07:25:18Z,1491,7,1026,False,public,True,True,True,,,,not_applicable
eth-das-readers,ETH_DAS_readers,included,"Reusable DAS format readers published with no license file, which grants no reuse rights.",data-management,Python readers for HDF5 DAS data in the Silixa and PRODML 2.1 header formats.,dcbowden/ETH_DAS_readers,https://github.com/dcbowden/ETH_DAS_readers,dcbowden,github,github.com,,,unlicensed,data-management;io,Jupyter Notebook,2023-01-31T15:18:00Z,2024-11-22T00:18:41Z,,1294,633,,False,public,False,False,False,,,,not_applicable
febustools,FebusTools.jl,included,Reusable DAS-specific Julia package with an MIT license.,data-management,Julia reader and conversion tools for Febus fibre-optic interrogator data.,anowacki/FebusTools.jl,https://github.com/anowacki/FebusTools.jl,anowacki,github,github.com,,MIT,osi-approved,conversion;io,Julia,2023-01-29T22:24:09Z,2024-10-11T16:42:08Z,,1296,675,,False,public,True,True,True,,,,not_applicable
fiber-strain-modeling,horizontal-fracture-fiber-strain,included,"Reusable MATLAB modeling library with an MIT license, a documented function guide, and a citation file.",modeling,MATLAB strain and strain-rate modeling for horizontal shear fractures observed on monitoring fibers.,Pengchao-He/horizontal-fracture-fiber-strain,https://github.com/Pengchao-He/horizontal-fracture-fiber-strain,Pengchao-He,github,github.com,,MIT,osi-approved,modeling;processing;visualization,MATLAB,2026-07-19T08:02:08Z,2026-07-19T08:02:14Z,,29,29,,False,public,False,False,False,,,,not_applicable
fiberis,fibeRIS,watchlist,"OSI-licensed and actively developed, but it spans DTS, DSS, and gauge data rather than targeting DAS, so its scope overlap is still under review.",core-framework,"Analysis, simulation, and data management across fiber-optic sensing modalities.",shenyaojin/fibeRIS,https://github.com/shenyaojin/fibeRIS,shenyaojin,github,github.com,,MIT,osi-approved,data-management;data-model;io;modeling;processing,Python,2025-02-01T00:56:41Z,2026-07-21T15:47:16Z,,562,27,,False,public,True,True,True,,,,not_applicable
fiberwatch-cli,FiberWatch CLI,included,Reusable command-line toolkit for fiber-sensing data with an MIT license.,machine-learning-detection,Command-line training and evaluation of fault and event models for OTDR and DAS traces.,theBlackfish01/FiberWatchCLI,https://github.com/theBlackfish01/FiberWatchCLI,theBlackfish01,github,github.com,,MIT,osi-approved,detection;machine-learning;processing,Jupyter Notebook,2025-07-06T20:49:28Z,2026-08-09T12:32:59Z,,407,8,,False,public,False,False,False,,,,not_applicable
filark,FiLark,included,Reusable DAS-specific Python framework with an MIT license and a packaged module tree.,visualization-annotation,"Streaming-first exploration, annotation, and signal processing for large DAS recordings.",Guoguo828/fliark,https://github.com/Guoguo828/fliark,Guoguo828,github,github.com,,MIT,osi-approved,annotation;processing;streaming;visualization,,2026-01-27T02:24:26Z,2026-01-25T03:15:48Z,,202,204,,False,public,False,False,False,,,,not_applicable
generic-cable,GenericCable,included,"Reusable DAS-specific modeling code published with no license file, which grants no reuse rights and is recorded as unlicensed rather than excluded.",modeling,Forward and adjoint modeling for fiber-optic cable responses.,subsurface4d/GenericCable,https://github.com/subsurface4d/GenericCable,subsurface4d,github,github.com,,,unlicensed,inversion;modeling,Python,2023-12-18T15:52:47Z,2024-08-07T13:41:22Z,,973,740,,False,public,True,False,False,,,,not_applicable
gridded-slant-stack,Gridded-SlantStack,included,Reusable MATLAB implementation of a DAS-specific method with an MIT license.,processing,MATLAB gridded slant-stack extraction of surface waves from DAS recordings.,zackspica/Gridded-SlantStack,https://github.com/zackspica/Gridded-SlantStack,zackspica,github,github.com,,MIT,osi-approved,processing;surface-waves;visualization,MATLAB,2021-10-19T14:24:38Z,2021-10-28T17:24:25Z,2021-10-28T17:24:25Z,1763,1754,1754,False,public,False,False,False,,,,not_applicable
idas-convert,idas-convert,included,Reusable DAS conversion tool with GPL-3.0 licensing.,data-management,Conversion of Silixa iDAS TDMS data into established seismic formats.,pyrocko/idas-convert,https://github.com/pyrocko/idas-convert,pyrocko,github,github.com,,GPL-3.0-only,osi-approved,conversion;data-management;io,Python,2021-09-21T09:24:40Z,2021-11-16T15:12:03Z,,1791,1735,,False,public,True,True,False,,,,not_applicable
intro-to-das,IntroToDASData,excluded,"Tutorial material rather than a reusable software package, CLI, framework, or application.",tutorial,Introductory notebooks for reading and working with DAS data.,DAS-RCN/IntroToDASData,https://github.com/DAS-RCN/IntroToDASData,DAS-RCN,github,github.com,,BSD-3-Clause,osi-approved,education;io;visualization,,,,,,,,,,,,,,,,not_applicable
invisensing,invisensing,included,"Reusable vendor-published DAS reader with an MIT license, documentation, CI, and PyPI releases.",data-management,Vendor Python SDK reading every DAS acquisition format the Audace platform writes.,invisensing-io/python-lib,https://github.com/invisensing-io/python-lib,invisensing-io,github,github.com,,MIT,osi-approved,conversion;data-management;io,Python,2024-09-13T11:11:38Z,2026-07-22T10:25:52Z,2026-07-22T10:32:50Z,703,26,26,False,public,True,True,True,invisensing,,,not_applicable
jdas,jDAS,included,Reusable DAS denoising implementation with an MIT license.,machine-learning-detection,Coherence-based deep-learning denoising for DAS data.,martijnende/jDAS,https://github.com/martijnende/jDAS,martijnende,github,github.com,,MIT,osi-approved,denoising;machine-learning;processing,Python,2021-08-21T13:35:25Z,2022-10-12T17:13:36Z,2021-09-08T14:14:43Z,1822,1405,1804,False,public,True,True,False,,,,not_applicable
lightguide,lightguide,included,Reusable DAS-specific Python library under GPL-3.0.,processing,"DAS handling, filtering, and forward modeling integrated with Pyrocko.",pyrocko/lightguide,https://github.com/pyrocko/lightguide,pyrocko,github,github.com,https://pyrocko.org,GPL-3.0-only,osi-approved,denoising;io;modeling;processing;visualization,Python,2022-05-24T10:29:43Z,2024-10-29T11:09:07Z,2023-04-14T11:41:09Z,1546,657,1221,False,public,True,True,True,lightguide,,,not_applicable
mldas,MLDAS,included,"Reusable DAS machine-learning package under the Lawrence Berkeley National Labs BSD variant, an OSI-approved license that GitHub cannot auto-detect.",machine-learning-detection,Machine-learning tools for DAS data.,DAS-RCN/mldas,https://github.com/DAS-RCN/mldas,DAS-RCN,github,github.com,,BSD-3-Clause-LBNL,osi-approved,detection;machine-learning;processing,Python,2021-08-19T17:07:39Z,2021-08-19T18:07:04Z,,1824,1824,,False,public,False,False,False,mldas,,,not_applicable
mldas-upstream,MLDAS (GitLab upstream),excluded,"Duplicate. This is the upstream of the already catalogued DAS-RCN/mldas mirror, and counting both would double one project's activity.",out-of-scope,Upstream GitLab home of the machine-learning tools mirrored to DAS-RCN/mldas.,ml4science/mldas,https://gitlab.com/ml4science/mldas,ml4science,gitlab,gitlab.com,,BSD-3-Clause-LBNL,osi-approved,detection;machine-learning,,,,,,,,,,,,,,,,not_applicable
multi-res-viewer,MultiResViewer,included,Reusable DAS visualization tool with GPL-3.0 licensing.,visualization-annotation,Multi-resolution interactive viewer for large DAS datasets.,DASDAE/MultiResViewer,https://github.com/DASDAE/MultiResViewer,DASDAE,github,github.com,,GPL-3.0-only,osi-approved,processing;visualization,Python,2023-07-21T13:39:44Z,2023-10-17T03:24:24Z,,1123,1035,,False,public,False,False,False,,,,not_applicable
opendas-stream,OpenDAS-Stream,watchlist,"MIT licensed and DAS-specific, but the repository holds four demonstration scripts with no packaging, tests, or documented interface, so its reusability is unresolved.",processing,GPU-accelerated streaming analytics for terabyte-scale DAS archives.,Xinxin-He/OpenDAS-Stream,https://github.com/Xinxin-He/OpenDAS-Stream,Xinxin-He,github,github.com,,MIT,osi-approved,parallel-computing;processing;streaming,Python,2026-03-03T22:30:40Z,2026-03-03T23:09:00Z,,167,167,,False,public,False,False,False,,,,not_applicable
